id,name,phone,point,gender,created_at,created_by,updated_at,updated_by,deleted
1967119892838748323,Tú Quang Mai,(07) 2018 9950,36154,F,2022-12-19 09:09:11,1,2023-01-30 09:48:35,1,False
1967119892838748324,Hương Bùi,+84-95-597 7859,7645,M,2022-11-21 18:47:54,1,2024-10-05 03:56:09,1,False
1967119892838748325,Quý cô Thành Vũ,04 2349 1011,48889,F,2024-07-16 09:55:06,1,2025-02-11 07:41:14,1,False
1967119892838748326,Bà An Trần,(09) 9101 3408,13467,F,2023-07-05 14:04:09,1,2023-11-02 23:13:12,1,False
1967119892838748327,Chị Thảo Lê,06 5323 3435,30621,M,2024-07-08 03:13:08,1,2025-06-18 23:36:05,1,False
1967119892838748328,Ông Khoa Phạm,03 3524355,41374,M,2024-03-21 17:12:41,1,2024-10-03 10:39:58,1,False
1967119892838748329,Bác Hưng Hoàng,(09)736-3360,41015,F,2023-09-16 09:13:51,1,2025-07-14 21:39:52,1,False
1967119892838748330,Duyên Trần,05 3796242,28457,M,2023-08-05 00:55:12,1,2024-11-28 16:59:59,1,False
1967119892838748331,Dương Trần,03 0607 8787,33981,M,2023-02-11 16:20:18,1,2025-03-27 15:32:54,1,False
1967119892838748332,Hà Bùi,(08)489-0863,8037,F,2023-03-17 21:42:21,1,2024-08-01 21:18:44,1,False
1967119892838748333,Khoa Mai,+84-10-083877,8413,M,2022-09-24 05:22:23,1,2025-08-06 11:40:28,1,False
1967119892838748334,Chị An Lê,03 6970093,27362,M,2024-01-07 08:18:17,1,2024-09-06 22:09:47,1,False
1967119892838748335,Bà Lâm Mai,+84-77-088139,43287,F,2022-10-13 19:20:02,1,2025-01-11 07:47:55,1,False
1967119892838748336,Bà An Đặng,07 9703984,30604,F,2023-04-09 23:14:43,1,2025-05-14 20:33:06,1,False
1967119892838748337,Phúc Xuân Nguyễn,+84-03-060 5998,41164,F,2023-06-15 20:59:21,1,2025-08-13 06:06:47,1,False
1967119892838748338,Bà Thảo Đặng,08 7272577,15763,M,2024-02-11 10:14:02,1,2025-05-18 06:56:31,1,False
1967119892838748339,Quý ông Châu Vũ,(06) 8247 5800,23241,M,2023-08-25 02:32:15,1,2025-01-21 01:51:59,1,False
1967119892838748340,Bà Nhật Nguyễn,(02)294-7769,31941,F,2023-09-05 17:45:41,1,2024-10-01 05:25:52,1,False
1967119892838748341,Nam Lê,+84-14-543258,42091,F,2023-12-18 06:59:29,1,2025-03-03 19:53:02,1,False
1967119892838748342,Quang Dương,+84-42-158254,41234,F,2023-10-04 13:23:26,1,2025-05-09 11:31:32,1,False
1967119892838748343,Quang Trần,+84-27-768665,49053,M,2023-08-08 01:33:44,1,2023-08-15 13:51:26,1,False
1967119892838748344,Khoa Thế Nguyễn,(03) 0170 3900,41276,M,2022-11-07 03:47:57,1,2024-05-18 04:02:28,1,False
1967119892838748345,Cô Thành Nguyễn,(00)315-8567,25681,F,2023-04-23 20:03:45,1,2023-07-03 12:43:37,1,False
1967119892838748346,Bà Dương Vũ,(04)173-7474,5592,F,2023-12-09 07:21:37,1,2024-05-08 05:57:32,1,False
1967119892838748347,Chị Nhật Vũ,01 0505 6874,6702,M,2022-10-09 02:34:32,1,2024-08-14 22:43:34,1,False
1967119892838748348,Bà Hải Vũ,+84-02-267 2549,30354,M,2022-11-13 16:25:46,1,2025-03-25 04:48:30,1,False
1967119892838748349,Nam Lê,(01) 0704 2007,49432,F,2024-08-06 13:27:14,1,2025-08-01 01:40:31,1,False
